# ran on: 2022-08-08
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# Ms = 1375.83 kA/m
# Mr/Ms = 0.2803
# J1 = 2.6907 +/- 0.0037 mJ/m^2
# J2 = 1.6889 +/- 0.0038 mJ/m^2
# A = 3.0000 +/- 0.0361 * 10 pJ/m
# theta from data = 147.44 degrees
# theta from model = 120.00 degrees
# average theta = 133.72 degrees
# measured saturation field = 3.030 T
# model saturation field = 2.950 T
# red chisq = 6.733 +/- 0.054
# standard deviation = 0.001411
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
2.999999999999999889e-01,8.043995908429816266e-01,8.052324344021684066e-01,-8.328435591868503561e-04
3.099999999999999978e-01,8.095370582560330597e-01,8.123037249181356279e-01,-2.766666662102488811e-03
3.200000000000000067e-01,8.139957854319376240e-01,8.192353162836750746e-01,-5.239530851737359517e-03
3.300000000000000155e-01,8.242662258884115856e-01,8.260328846997200269e-01,-1.766658811308413840e-03
3.400000000000000244e-01,8.327125519575536705e-01,8.327017167334762604e-01,1.083522407735346264e-05
3.499999999999999778e-01,8.347532670386228482e-01,8.392467463249919657e-01,-4.493479286369109725e-03
3.599999999999999867e-01,8.418421126334713067e-01,8.456725873981868480e-01,-3.830474764715528259e-03
3.699999999999999956e-01,8.449433593350823557e-01,8.519930050771276075e-01,-7.049645742045257922e-03
3.800000000000000044e-01,8.531775790801159332e-01,8.581757409517123403e-01,-4.998161871596452227e-03
3.900000000000000133e-01,8.592907355840659900e-01,8.642535674319635763e-01,-4.962831847897600235e-03
4.000000000000000222e-01,8.633676713765754407e-01,8.702666841882905624e-01,-6.899012811715152065e-03
4.099999999999999756e-01,8.675718709635500403e-01,8.761564754038150271e-01,-8.584604440264936506e-03
4.199999999999999845e-01,8.742365039101817059e-01,8.819494525083224623e-01,-7.712948598140696548e-03
4.299999999999999933e-01,8.793315500584114597e-01,8.876486489995499829e-01,-8.317098941138509338e-03
4.400000000000000022e-01,8.859113404753999887e-01,8.932569298349193332e-01,-7.345589359519307145e-03
4.500000000000000111e-01,8.895216423548709672e-01,8.987770118707935074e-01,-9.255369515922469079e-03
4.600000000000000200e-01,8.898655068430730841e-01,9.042114746815533843e-01,-1.434596783848029848e-02
4.699999999999999734e-01,8.973785650861383356e-01,9.095627703768969230e-01,-1.218420529075861687e-02
4.799999999999999822e-01,9.020069773213298392e-01,9.148332325306572921e-01,-1.282625520932746503e-02
4.899999999999999911e-01,9.122774177778038007e-01,9.200250843172982362e-01,-7.747666539494472808e-03
5.000000000000000000e-01,9.168209874833516126e-01,9.251404459401680880e-01,-8.319458456816405945e-03
5.100000000000000089e-01,9.220432974260464043e-01,9.301813414252934065e-01,-8.138043999246948393e-03
5.200000000000000178e-01,9.270110797798112312e-01,9.351497048456033356e-01,-8.138625065792133920e-03
5.300000000000000266e-01,9.268034678253317393e-01,9.400473860327664966e-01,-1.324391820743482315e-02
5.400000000000000355e-01,9.300743995862293945e-01,9.448761558272068539e-01,-1.480175624097747160e-02
5.500000000000000444e-01,9.383934618609063305e-01,9.496377109110544223e-01,-1.124424905014810225e-02
5.600000000000000533e-01,9.414522872976958112e-01,9.543336782637871218e-01,-1.288139096609124297e-02
5.699999999999999512e-01,9.492622943945127068e-01,9.589656192759030695e-01,-9.703324881390359286e-03
5.799999999999999600e-01,9.545694468668507460e-01,9.635350335521439824e-01,-8.965586685293194802e-03
5.899999999999999689e-01,9.552951027384479765e-01,9.680433624324155106e-01,-1.274825969396753064e-02
5.999999999999999778e-01,9.603901488866777303e-01,9.724919922555822493e-01,-1.210184336890443059e-02
6.099999999999999867e-01,9.643398208847224762e-01,9.768822573887196992e-01,-1.254243650399718482e-02
6.199999999999999956e-01,9.705378199183157806e-01,9.812154430420959583e-01,-1.067762312378022806e-02
6.300000000000000044e-01,9.733845390309967538e-01,9.854927878881377667e-01,-1.210824885714105112e-02
6.400000000000000133e-01,9.792431679460165128e-01,9.897154865007948832e-01,-1.047231855477836343e-02
6.500000000000000222e-01,9.848472692721064181e-01,9.938846916301655732e-01,-9.037422358059151589e-03
6.600000000000000311e-01,9.897302090962277754e-01,9.980015163257804911e-01,-8.271307229552792017e-03
6.700000000000000400e-01,9.893953333472832457e-01,1.002067035920691573e+00,-1.267170257340827916e-02
6.800000000000000488e-01,9.950418559381948302e-01,1.006082289887381798e+00,-1.104043394918691710e-02
6.899999999999999467e-01,9.998399532326728290e-01,1.010048283575489370e+00,-1.020833034281650765e-02
6.999999999999999556e-01,1.001923089578563797e+00,1.013965989840440063e+00,-1.204290026187622778e-02
7.099999999999999645e-01,1.006000025371073248e+00,1.017836350571266202e+00,-1.183632520019298369e-02
7.199999999999999734e-01,1.012537394523239875e+00,1.021660278125156029e+00,-9.122883601916039614e-03
7.299999999999999822e-01,1.015172007311812674e+00,1.025438656675629723e+00,-1.026664936381714403e-02
7.399999999999999911e-01,1.018145990218958685e+00,1.029172343480629248e+00,-1.102635326167055244e-02
7.500000000000000000e-01,1.019677650122167822e+00,1.032862170076296549e+00,-1.318451995412880939e-02
7.600000000000000089e-01,1.025833227890939225e+00,1.036508943401709626e+00,-1.067571551077025477e-02
