# ran on: 2022-07-28
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# J1 = 2.6907 +/- 0.0037
# J2 = 1.6889 +/- 0.0038
# A = 3.0000 +/- 0.0361
# measured saturation field = 3.03 T
# fit saturation field = 2.95 T
# Ms = 1.38e+03 kA/m
# Mr = 1.25e-01 kA/m
# Mr/Ms = 9.09e-05
# theta_data = 180.0
# theta_model = 142.8
# theta = 161.4
# red chisq = 15.732 +/- 0.054
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
5.999999999999999778e-01,9.603901488866777303e-01,9.724919922466651601e-01,-1.210184335998742977e-02
6.099999999999999867e-01,9.643398208847224762e-01,9.768822573664407427e-01,-1.254243648171826653e-02
6.199999999999999956e-01,9.705378199183157806e-01,9.812154430067443478e-01,-1.067762308842856722e-02
6.300000000000000044e-01,9.733845390309967538e-01,9.854927878399923902e-01,-1.210824880899563638e-02
6.400000000000000133e-01,9.792431679460165128e-01,9.897154864401257468e-01,-1.047231849410923399e-02
6.500000000000000222e-01,9.848472692721064181e-01,9.938846915572352447e-01,-9.037422285128826616e-03
6.600000000000000311e-01,9.897302090962277754e-01,9.980015162408437668e-01,-8.271307144615991369e-03
6.700000000000000400e-01,9.893953333472832457e-01,1.002067035823995145e+00,-1.267170247671189909e-02
6.800000000000000488e-01,9.950418559381948302e-01,1.006082289779165473e+00,-1.104043384097064262e-02
6.899999999999999467e-01,9.998399532326728290e-01,1.010048283455987184e+00,-1.020833022331435469e-02
6.999999999999999556e-01,1.001923089578563797e+00,1.013965989709878723e+00,-1.204290013131492643e-02
7.099999999999999645e-01,1.006000025371073248e+00,1.017836350429865533e+00,-1.183632505879228525e-02
7.199999999999999734e-01,1.012537394523239875e+00,1.021660277973130970e+00,-9.122883449891094898e-03
7.299999999999999822e-01,1.015172007311812674e+00,1.025438656513188329e+00,-1.026664920137565495e-02
7.399999999999999911e-01,1.018145990218958685e+00,1.029172343307974913e+00,-1.102635308901622757e-02
7.500000000000000000e-01,1.019677650122167822e+00,1.032862169893627113e+00,-1.318451977145929099e-02
7.600000000000000089e-01,1.025833227890939225e+00,1.036508943209218270e+00,-1.067571531827904430e-02
7.700000000000000178e-01,1.031097959098455918e+00,1.040113446657298990e+00,-9.015487558843071625e-03
7.800000000000000266e-01,1.036235426511507240e+00,1.043676441104693930e+00,-7.441014593186690007e-03
7.900000000000000355e-01,1.036748976058996297e+00,1.047198665827632658e+00,-1.044968976863636101e-02
8.000000000000000444e-01,1.037517053195415206e+00,1.050680839404983802e+00,-1.316378620956859535e-02
8.100000000000000533e-01,1.042060622900963018e+00,1.054123660563057285e+00,-1.206303766209426698e-02
8.199999999999999512e-01,1.046519350076867694e+00,1.057527808975169403e+00,-1.100845889830170954e-02
8.299999999999999600e-01,1.052802191640104468e+00,1.060893930770061333e+00,-8.091739129956865284e-03
8.399999999999999689e-01,1.055394383163855476e+00,1.064222678624632934e+00,-8.828295460777457748e-03
8.499999999999999778e-01,1.063204390260672261e+00,1.067514686061934892e+00,-4.310295801262631343e-03
8.599999999999999867e-01,1.061172663918861003e+00,1.070770552747348781e+00,-9.597888828487777246e-03
8.699999999999999956e-01,1.066607080185663969e+00,1.073990875265598000e+00,-7.383795079934030170e-03
8.800000000000000044e-01,1.067714527440656314e+00,1.077176243208297635e+00,-9.461715767641321051e-03
8.900000000000000133e-01,1.070179455169942173e+00,1.080327222044440649e+00,-1.014776687449847614e-02
9.000000000000000222e-01,1.073238280606731543e+00,1.083444363270008592e+00,-1.020608266327704960e-02
9.100000000000000311e-01,1.080624075055331978e+00,1.086528204890550020e+00,-5.904129835218041578e-03
9.200000000000000400e-01,1.083173845314261197e+00,1.089579271921412351e+00,-6.405426607151154528e-03
9.300000000000000488e-01,1.086275092015872357e+00,1.092598076856116318e+00,-6.322984840243961457e-03
9.399999999999999467e-01,1.088018858243189779e+00,1.095585120084846764e+00,-7.566261841656984899e-03
9.499999999999999556e-01,1.090186837118723995e+00,1.098540890308600693e+00,-8.354053189876697871e-03
9.599999999999999645e-01,1.097360525243215701e+00,1.101465864915675663e+00,-4.105339672459962230e-03
9.699999999999999734e-01,1.096389330521946093e+00,1.104360510385096861e+00,-7.971179863150767986e-03
9.799999999999999822e-01,1.099193628369805387e+00,1.107225282654276555e+00,-8.031654284471168026e-03
9.899999999999999911e-01,1.105858261316437385e+00,1.110060627449756865e+00,-4.202366133319479502e-03
1.000000000000000000e+00,1.107220236160359583e+00,1.112866980618970825e+00,-5.646744458611241413e-03
1.010000000000000009e+00,1.112484967367876054e+00,1.115644768439317147e+00,-3.159801071441092901e-03
1.020000000000000018e+00,1.114483261184123553e+00,1.118394407911844857e+00,-3.911146727721304117e-03
1.030000000000000027e+00,1.116863346383766276e+00,1.121116307084838004e+00,-4.252960701071728522e-03
1.040000000000000036e+00,1.118310163757331832e+00,1.123810865313999763e+00,-5.500701556667930703e-03
1.050000000000000044e+00,1.119756981130897833e+00,1.126478473526827839e+00,-6.721492395930006580e-03
1.060000000000000053e+00,1.126718562931281031e+00,1.129119514477825215e+00,-2.400951546544183302e-03
1.070000000000000062e+00,1.126129159593406870e+00,1.131734362989154752e+00,-5.605203395747881956e-03
1.080000000000000071e+00,1.128806193646801015e+00,1.134323386175317472e+00,-5.517192528516456917e-03
1.090000000000000080e+00,1.130804487463048513e+00,1.136886943699963348e+00,-6.082456236914834946e-03
1.100000000000000089e+00,1.134372368077698034e+00,1.139425387978594939e+00,-5.053019900896904559e-03
1.110000000000000098e+00,1.140655209640934586e+00,1.141939064384808411e+00,-1.283854743873824589e-03
1.120000000000000107e+00,1.143459507488794102e+00,1.144428311450739200e+00,-9.688039619450972140e-04
1.129999999999999893e+00,1.141427781146982401e+00,1.146893461059871777e+00,-5.465679912889376268e-03
1.139999999999999902e+00,1.142959441050191538e+00,1.149334838626275390e+00,-6.375397576083852158e-03
1.149999999999999911e+00,1.151872401032371984e+00,1.151752763271093993e+00,1.196377612779908617e-04
1.159999999999999920e+00,1.151367840224140737e+00,1.154147548016969171e+00,-2.779707792828434165e-03
1.169999999999999929e+00,1.154808457044325332e+00,1.156519499940310780e+00,-1.711042895985448453e-03
1.179999999999999938e+00,1.159606554338803441e+00,1.158868920330370589e+00,7.376340084328525393e-04
1.189999999999999947e+00,1.162877486099701096e+00,1.161196104843168930e+00,1.681381256532166191e-03
1.199999999999999956e+00,1.162881980469330001e+00,1.163501343649934849e+00,-6.193631806048482957e-04
1.209999999999999964e+00,1.165601435787545936e+00,1.165784921580287348e+00,-1.834857927414113021e-04
1.219999999999999973e+00,1.168023942252010228e+00,1.168047118250617578e+00,-2.317599860734986805e-05
1.229999999999999982e+00,1.168282964210569208e+00,1.170288208209156355e+00,-2.005243998587147303e-03
1.239999999999999991e+00,1.168881356287701401e+00,1.172508461070991270e+00,-3.627104783289869516e-03
1.250000000000000000e+00,1.177242839827200127e+00,1.174708141634486891e+00,2.534698192713236153e-03
1.260000000000000009e+00,1.176271645105930519e+00,1.176887510001525694e+00,-6.158648955951750992e-04
1.270000000000000018e+00,1.174791395206800981e+00,1.179046821693732872e+00,-4.255426486931890295e-03
1.280000000000000027e+00,1.177595693054660053e+00,1.181186327764847110e+00,-3.590634710187057266e-03
1.290000000000000036e+00,1.183242215645571749e+00,1.183306274909402100e+00,-6.405926383035165372e-05
1.300000000000000044e+00,1.186725253730577911e+00,1.185406905567498281e+00,1.318348163079630098e-03
1.310000000000000053e+00,1.187959964780035182e+00,1.187488458017589954e+00,4.715067624452284889e-04
1.320000000000000062e+00,1.191188475276111269e+00,1.189551166489809741e+00,1.637308786301527874e-03
1.330000000000000071e+00,1.195180568538977361e+00,1.191595261260148808e+00,3.585307278828553379e-03
1.340000000000000080e+00,1.195694118086466640e+00,1.193620968738551502e+00,2.073149347915137497e-03
1.350000000000000089e+00,1.197183356724853986e+00,1.195628511558403551e+00,1.554845166450435912e-03
1.360000000000000098e+00,1.200072497102356861e+00,1.197618108663270231e+00,2.454388439086629958e-03
1.370000000000000107e+00,1.199652778823768751e+00,1.199589975390962460e+00,6.280343280629097080e-05
1.379999999999999893e+00,1.201226859991799456e+00,1.201544323555057581e+00,-3.174635632581246369e-04
1.389999999999999902e+00,1.205728008432525922e+00,1.203481361523952353e+00,2.246646908573568524e-03
1.399999999999999911e+00,1.208744412604493501e+00,1.205401294297564041e+00,3.343118306929460104e-03
1.409999999999999920e+00,1.207221741440542173e+00,1.207304323576475769e+00,-8.258213593359542415e-05
1.419999999999999929e+00,1.209389720316076389e+00,1.209190647839009980e+00,1.990724770664087373e-04
1.429999999999999938e+00,1.213763604962337705e+00,1.211060462417595351e+00,2.703142544742354048e-03
1.439999999999999947e+00,1.216780009134305507e+00,1.212913959561059407e+00,3.866049573246099769e-03
1.449999999999999956e+00,1.219414621922878306e+00,1.214751328500772498e+00,4.663293422105807551e-03
1.459999999999999964e+00,1.220182699059297216e+00,1.216572755514897075e+00,3.609943544400140425e-03
1.469999999999999973e+00,1.222223414140366504e+00,1.218378423990833737e+00,3.844990149532767632e-03
1.479999999999999982e+00,1.224518656810365647e+00,1.220168514485911793e+00,4.350142324453853959e-03
1.489999999999999991e+00,1.225710946595001127e+00,1.221943204786385628e+00,3.767741808615499011e-03
1.500000000000000000e+00,1.226309338672133764e+00,1.223702669964814138e+00,2.606668707319625966e-03
1.510000000000000009e+00,1.231319542290719937e+00,1.225447082435859869e+00,5.872459854860068162e-03
1.520000000000000018e+00,1.233020887253216014e+00,1.227176612010571155e+00,5.844275242644858537e-03
1.530000000000000027e+00,1.232601168974627903e+00,1.228891425946563087e+00,3.709743028064815817e-03
1.540000000000000036e+00,1.234981254174270626e+00,1.230591688999569833e+00,4.389565174700793548e-03
1.550000000000000044e+00,1.236809862931231629e+00,1.232277563481108063e+00,4.532299450123566942e-03
1.560000000000000053e+00,1.238086995245510691e+00,1.233949209302213523e+00,4.137785943297167535e-03
1.570000000000000062e+00,1.240679186769261477e+00,1.235606784020748528e+00,5.072402748512949699e-03
1.580000000000000071e+00,1.244459173708019506e+00,1.237250442887607660e+00,7.208730820411846096e-03
